osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0
SpecialStyle: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 2
BeatDivisor: 16
GridSize: 16
TimelineZoom: 1

[Metadata]
Title:Turkish March
TitleUnicode:Turkish March
Artist:Mozart
ArtistUnicode:Mozart
Creator:Nicolas0302Game
Version:Expert
Source:
Tags:Classical Music
BeatmapID:4242911
BeatmapSetID:2035069

[Difficulty]
HPDrainRate:5
CircleSize:4
OverallDifficulty:5
ApproachRate:5
SliderMultiplier:2
SliderTickRate:1

[Events]
//Background and Video events
0,0,"descarga.jpeg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
0,480,4,1,0,100,1,0


[HitObjects]
320,192,5130,5,0,0:0:0:0:
448,192,5250,1,0,0:0:0:0:
320,192,5370,1,0,0:0:0:0:
64,192,5490,1,0,0:0:0:0:
448,192,5610,1,0,0:0:0:0:
192,192,5610,1,0,0:0:0:0:
192,192,6090,1,0,0:0:0:0:
448,192,6180,1,0,0:0:0:0:
64,192,6270,1,0,0:0:0:0:
320,192,6390,1,0,0:0:0:0:
192,192,6570,1,0,0:0:0:0:
320,192,6570,1,0,0:0:0:0:
448,192,6570,1,0,0:0:0:0:
192,192,7080,1,0,0:0:0:0:
320,192,7200,1,0,0:0:0:0:
448,192,7350,1,0,0:0:0:0:
320,192,7380,1,0,0:0:0:0:
192,192,7410,1,0,0:0:0:0:
320,192,7650,1,0,0:0:0:0:
192,192,7740,1,0,0:0:0:0:
448,192,7830,1,0,0:0:0:0:
64,192,7890,1,0,0:0:0:0:
192,192,8040,1,0,0:0:0:0:
320,192,8070,1,0,0:0:0:0:
320,192,8250,1,0,0:0:0:0:
448,192,8310,1,0,0:0:0:0:
64,192,8430,1,0,0:0:0:0:
320,192,8580,1,0,0:0:0:0:
192,192,9090,1,0,0:0:0:0:
320,192,9330,1,0,0:0:0:0:
448,192,9570,1,0,0:0:0:0:
320,192,9570,1,0,0:0:0:0:
192,192,9570,1,0,0:0:0:0:
320,192,9810,1,0,0:0:0:0:
192,192,10050,1,0,0:0:0:0:
64,192,10290,1,0,0:0:0:0:
320,192,10560,1,0,0:0:0:0:
192,192,10560,1,0,0:0:0:0:
448,192,10560,1,0,0:0:0:0:
192,192,10830,1,0,0:0:0:0:
448,192,10830,1,0,0:0:0:0:
320,192,11040,1,0,0:0:0:0:
64,192,11280,1,0,0:0:0:0:
192,192,11490,1,0,0:0:0:0:
448,192,11490,1,0,0:0:0:0:
320,192,11490,1,0,0:0:0:0:
320,192,11790,1,0,0:0:0:0:
64,192,11790,1,0,0:0:0:0:
192,192,12060,1,0,0:0:0:0:
448,192,12060,1,0,0:0:0:0:
320,192,12240,1,0,0:0:0:0:
64,192,12240,1,0,0:0:0:0:
192,192,12510,1,0,0:0:0:0:
64,192,12510,1,0,0:0:0:0:
320,192,12510,1,0,0:0:0:0:
448,192,12510,1,0,0:0:0:0:
64,192,13080,1,0,0:0:0:0:
192,192,13170,1,0,0:0:0:0:
320,192,13290,1,0,0:0:0:0:
192,192,13410,1,0,0:0:0:0:
64,192,13530,1,0,0:0:0:0:
64,192,14010,1,0,0:0:0:0:
192,192,14100,1,0,0:0:0:0:
320,192,14220,1,0,0:0:0:0:
192,192,14370,1,0,0:0:0:0:
64,192,14460,1,0,0:0:0:0:
320,192,14970,1,0,0:0:0:0:
448,192,15090,1,0,0:0:0:0:
192,192,15210,1,0,0:0:0:0:
320,192,15300,1,0,0:0:0:0:
64,192,15450,1,0,0:0:0:0:
192,192,15570,1,0,0:0:0:0:
320,192,15660,1,0,0:0:0:0:
448,192,15780,1,0,0:0:0:0:
192,192,15900,1,0,0:0:0:0:
64,192,16050,1,0,0:0:0:0:
192,192,16140,1,0,0:0:0:0:
320,192,16260,1,0,0:0:0:0:
448,192,16350,1,0,0:0:0:0:
64,192,16860,1,0,0:0:0:0:
192,192,17100,1,0,0:0:0:0:
192,192,17310,1,0,0:0:0:0:
320,192,17310,1,0,0:0:0:0:
448,192,17310,1,0,0:0:0:0:
320,192,17580,1,0,0:0:0:0:
192,192,17820,1,0,0:0:0:0:
64,192,18060,1,0,0:0:0:0:
448,192,18330,1,0,0:0:0:0:
192,192,18330,1,0,0:0:0:0:
320,192,18330,1,0,0:0:0:0:
448,192,18600,1,0,0:0:0:0:
192,192,18600,1,0,0:0:0:0:
320,192,18810,1,0,0:0:0:0:
64,192,19050,1,0,0:0:0:0:
320,192,19260,1,0,0:0:0:0:
448,192,19260,1,0,0:0:0:0:
192,192,19260,1,0,0:0:0:0:
64,192,19560,1,0,0:0:0:0:
320,192,19560,1,0,0:0:0:0:
192,192,19800,1,0,0:0:0:0:
448,192,19800,1,0,0:0:0:0:
64,192,20010,1,0,0:0:0:0:
320,192,20010,1,0,0:0:0:0:
320,192,20280,1,0,0:0:0:0:
448,192,20280,1,0,0:0:0:0:
192,192,20280,1,0,0:0:0:0:
64,192,20280,1,0,0:0:0:0:
64,192,20820,1,0,0:0:0:0:
320,192,20820,1,0,0:0:0:0:
192,192,21030,1,0,0:0:0:0:
448,192,21030,1,0,0:0:0:0:
320,192,21240,1,0,0:0:0:0:
64,192,21240,1,0,0:0:0:0:
320,192,21480,1,0,0:0:0:0:
64,192,21480,1,0,0:0:0:0:
448,192,21780,1,0,0:0:0:0:
320,192,21900,1,0,0:0:0:0:
448,192,21990,1,0,0:0:0:0:
192,192,22290,1,0,0:0:0:0:
320,192,22290,1,0,0:0:0:0:
320,192,22530,1,0,0:0:0:0:
64,192,22530,1,0,0:0:0:0:
448,192,22770,1,0,0:0:0:0:
192,192,22980,1,0,0:0:0:0:
448,192,22980,1,0,0:0:0:0:
64,192,23220,1,0,0:0:0:0:
320,192,23220,1,0,0:0:0:0:
64,192,23430,1,0,0:0:0:0:
320,192,23460,1,0,0:0:0:0:
192,192,23730,1,0,0:0:0:0:
448,192,23730,1,0,0:0:0:0:
64,192,23880,1,0,0:0:0:0:
320,192,23970,1,0,0:0:0:0:
64,192,24090,1,0,0:0:0:0:
192,192,24210,1,0,0:0:0:0:
320,192,24450,1,0,0:0:0:0:
448,192,24750,1,0,0:0:0:0:
192,192,24750,1,0,0:0:0:0:
64,192,24960,1,0,0:0:0:0:
320,192,24960,1,0,0:0:0:0:
64,192,25200,1,0,0:0:0:0:
448,192,25200,1,0,0:0:0:0:
320,192,25470,1,0,0:0:0:0:
192,192,25470,1,0,0:0:0:0:
64,192,25680,1,0,0:0:0:0:
320,192,25830,1,0,0:0:0:0:
448,192,25950,1,0,0:0:0:0:
64,192,26160,1,0,0:0:0:0:
192,192,26160,1,0,0:0:0:0:
320,192,26160,1,0,0:0:0:0:
320,192,26460,1,0,0:0:0:0:
448,192,26670,1,0,0:0:0:0:
192,192,26670,1,0,0:0:0:0:
64,192,26910,1,0,0:0:0:0:
320,192,26910,1,0,0:0:0:0:
64,192,27180,1,0,0:0:0:0:
